Category,Module,Item,MPN,Manufacturer,Package,Qty/Array PCB,Array PCBs,Qty/ADC PCB,Qty/Sensor PCB,Qty/External,Installed Total,Recommended Buy,Status,Priority,Channel,LCSC/DigiKey,Ref Unit Price,Currency,Stock Snapshot,Preferred Procurement,Substitution Rule,Engineering Note,Source URL
Power,Input eFuse,2.7–23V eFuse/current limit,TPS259470LRPWR,Texas Instruments,VQFN-10,1,2,1,0,0,3,5,LOCK,A,,C3662793,1.03,USD,1k+,LCSC/立创商城; DigiKey China,Same TPS25947 family after pin review.,"Initial ILIM≈2A, OVLO≈17.6V.",https://www.ti.com/product/TPS25947
Power,Rail monitor,36V current/voltage/power monitor,INA226AIDGSR,Texas Instruments,VSSOP-10,1,2,1,0,0,3,5,LOCK,B,,C49851,0.79,USD,30k+,LCSC/立创商城,INA226-compatible only.,20mΩ Kelvin shunt.,https://www.ti.com/product/INA226
Power,Board temperature,High-accuracy digital temperature sensor,TMP117MAIDRVR,Texas Instruments,WSON-6,1,2,1,0,0,3,5,PREFERRED,B,,C2803242,1.68,USD,800+,LCSC/立创商城,TMP117/TMP119 after SW review.,"Board thermal diagnostics, not air sound speed.",https://www.ti.com/product/TMP117
Power,3.3V logic buck,"3.8–32V, 2A fixed 3.3V buck",AP63203WU-7,Diodes Inc.,TSOT26,1,2,1,0,0,3,5,LOCK,A,,C780769,1.22,USD,8k+,LCSC/立创商城,Equivalent only with ref-layout redesign.,Local 3.3V logic rail.,https://www.diodes.com/part/view/AP63203
Power,5.5V pre-regulator,"3.8–32V, 2A adjustable buck",AP63200WU-7,Diodes Inc.,TSOT26,1,2,1,0,0,3,5,LOCK,A,,C2071868,0.36,USD,6k+,LCSC/立创商城,Equivalent only after feedback/layout review.,"590k/100k gives ~5.52V, then LDO.",https://www.diodes.com/part/view/AP63200
Power,Clean 5V LDO,Low-noise fixed 5.0V LDO,ADP7118ACPZN5.0-R7,Analog Devices,LFCSP-8,1,2,1,0,0,3,5,LOCK,A,,C659349,2.09,USD,3k+,LCSC/立创商城; ADI authorized,Low-noise 5V >=150mA after cap review.,Array AFE / ADC AVCC clean rail.,https://www.analog.com/en/products/adp7118.html
Power,AFE ferrite,"220Ω@100MHz, 2A ferrite bead",BLM21PG221SN1D,Murata,0805,1,2,1,0,0,3,10,LOCK,B,,C85840,0.031,USD,300k+,LCSC/立创商城,0805 bead >=1A; 120–600Ω@100MHz.,Analog rail HF isolation.,https://www.lcsc.com/product-detail/C85840.html
Power,Buck inductor,"6.8uH, 5A molded inductor",FXL0630-6R8-M,cjiang,SMD 6.6×7mm,2,2,2,0,0,6,8,PREFERRED,A,,C167221,0.17,USD,100k+,LCSC/立创商城,"6.8uH, Irated>=5A, Isat>=5.5A, DCR<=60mΩ.",Two bucks per board.,https://www.lcsc.com/product-detail/Power-Inductors_cjiang-Changjiang-Microelectronics-Tech-FXL0630-6R8-M_C167221.html
Power,Current shunt,"20mΩ, 2W, 1% current sense resistor",GX2512-2W-20mR-1%,Milliohm,2512,1,2,1,0,0,3,10,PREFERRED,B,,C500720,0.08,USD,3k+,LCSC/立创商城,"20mΩ 1%, >=1W, TCR<=100ppm/C.","At 2A: 40mV, 80mW.",https://www.lcsc.com/zh-CN/product-detail/current-sense-resistors-shunt-resistors_milliohm-gx2512-2w-20mr-1_C500720.html
Sensor,Air environment,±1%RH I2C humidity/temperature sensor,SHT45-AD1B-R2,Sensirion,DFN-4,0,2,0,1,0,1,2,LOCK,A,,DigiKey CN,47.64,USD,3k+,DigiKey China/Mouser China,SHT41/SHT40 only if accuracy budget updated.,Remote from driver heat; sound-speed compensation.,https://sensirion.com/products/catalog/SHT45
Connector,Digital control,50-pin 2×25 IDC PCB header,2.54-2*25P / keyed equivalent,BOOMELE/CONNFLY,THT,1,2,0,0,0,2,4,PREFERRED,A,,C30006,0.21,USD,1k+,LCSC custom cable,Same footprint/keying; exact footprint pre-freeze.,FPGA→array; alternating signal/GND; cable <=200mm.,https://www.lcsc.com/product-detail/C30006.html
Connector,Analog calibration,"Shielded 8P8C RJ45 jack, no magnetics",KH-5224-8P8C,Kinghelm,THT,1,2,2,0,0,4,6,LOCK,A,,C2683357,0.35,USD,7k+,LCSC/立创商城,"Any passive shielded 8P8C no-magnetics jack, footprint reviewed.","4 pairs, each SIGNAL+GND; label NOT ETHERNET.",https://www.lcsc.com/product-detail/Ethernet-Connectors-Modular-Connectors-RJ45-RJ11_Shenzhen-Kinghelm-Elec-KH-5224-8P8C_C2683357.html
Connector,ADC digital,20-pin 2×10 IDC PCB header,BH254V-20P / keyed equivalent,Domestic connector,THT,0,2,1,0,0,1,3,PREFERRED,A,,,0.16,USD,High,LCSC custom cable,"Keyed 2×10 2.54mm, pin map preserved.",ADC→FPGA; ground-adjacent signals.,https://www.lcsc.com/custom-cable-assembly
Connector,Power input,PCB right-angle XT30 male,XT30PW-M30.G.Y,Changzhou Amass,THT,1,2,1,0,0,3,6,LOCK,A,,C431092,0.38,USD,70k+,LCSC/立创商城,Do not alter polarity/keying without harness update.,"15A class, ample margin.",https://www.lcsc.com/product-detail/plug_Changzhou-Amass-Elec-XT30PW-M30-G-Y_C431092.html
Connector,Power harness,Cable-side XT30 female,XT30U-F,Changzhou Amass,Cable,0,2,0,0,3,3,6,LOCK,A,,C99102,0.21,USD,40k+,LCSC/立创商城,Genuine matching XT30 female.,Upper/lower/ADC branches.,https://www.lcsc.com/product-detail/plug_changzhou-amass-elec-xt30u-f_C99102.html
Connector,Remote sensor,JST XH 4-pin board header,B4B-XH-A(LF)(SN),JST,THT 2.5mm,0,2,1,1,0,2,6,LOCK,B,,C144395,0.062,USD,80k+,LCSC/立创商城,XH compatible only; preserve 3V3/GND/SCL/SDA.,ADC + sensor board.,https://www.lcsc.com/product-detail/C144395.html
Connector,Remote sensor cable,JST XH 4-pin housing,XHP-4,JST,Housing,0,2,0,0,2,2,10,LOCK,B,,C144403,0.024,USD,100k+,LCSC custom cable,Genuine JST for final harness.,Two ends for one sensor cable.,https://www.lcsc.com/zh-CN/product-detail/Rectangular-Connectors-Housings_JST-XHP-4_C144403.html
Connector,Remote sensor cable,XH crimp terminal 22–28AWG,SXH-001T-P0.6,JST,Crimp,0,2,0,0,8,8,100,LOCK,B,,C140573,0.013,USD,500k+,LCSC custom cable,Compatible terminal with correct wire gauge/plating.,Prefer pre-crimped custom cable.,https://www.lcsc.com/product-detail/XH-Connectors_JST_SXH-001T-P0-6_SXH-001T-P0-6_C140573.html
External,Digital cable,"50-conductor IDC ribbon assembly, 2×25 F-F",UL2651 28AWG 50C + IDC,Domestic custom,Cable,0,2,0,0,2,2,3,LOCK,A,,,,USD,,LCSC custom cable/JLC cable,Keep <=200mm; no loose Dupont.,One per array PCB; signal/GND mapping fixed.,https://www.lcsc.com/custom-cable-assembly
External,ADC cable,"20-conductor IDC ribbon assembly, 2×10 F-F",UL2651 28AWG 20C + IDC,Domestic custom,Cable,0,2,0,0,1,1,2,LOCK,A,,,,USD,,LCSC custom cable,Keep <=200mm.,Central ADC to Zynq.,https://www.lcsc.com/custom-cable-assembly
External,Analog cable,Shielded Cat6 patch cable 0.3–0.5m,Cat6 U/FTP or F/UTP,Domestic cable,Cable,0,2,0,0,2,2,3,LOCK,A,,,,USD,,Domestic official stores,Shielded 4-pair cable.,Each pair signal+GND; NOT Ethernet.,https://www.lcsc.com/product-detail/Ethernet-Connectors-Modular-Connectors-RJ45-RJ11_Shenzhen-Kinghelm-Elec-KH-5224-8P8C_C2683357.html
External,DC supply,15V / 7A / 105W desktop adapter,GST120A15-R7B,MEAN WELL,Adapter,0,2,0,0,1,1,1,PREFERRED,A,,,370,CNY,China channels,MEAN WELL China authorized,Equivalent certified 15V 6–8A low-ripple supply.,Final demo PSU; bench bring-up with adjustable 0–20V >=5A.,https://www.meanwell.com/webapp/product/search.aspx?prod=GST120A
External,DC splitter,15V star distribution harness,18AWG + XT30U-F×3,Custom,Cable,0,2,0,0,1,1,2,LOCK,A,,,,USD,,Domestic custom harness,Star only; no daisy chain.,Independent upper/lower/ADC branches.,https://www.lcsc.com/product-detail/plug_changzhou-amass-elec-xt30u-f_C99102.html
Passive,Decoupling,100nF/50V X7R,GRM188R71H104KA93D,Murata,0603,71,2,21,1,0,164,220,LOCK,A,,C77055,0.007,USD,Very high,LCSC/立创商城; authorized distributor,Same value/spec or better from reputable vendor.,Digital/driver/AFE/ADC decoupling; place at IC pins.,https://www.murata.com/en-global/products/productdetail?partno=GRM188R71H104KA93D
Passive,Driver local,1uF/25V X7R,GRM21BR71E105KA99L,Murata,0805,33,2,2,0,0,68,80,LOCK,A,,,0.077,USD,Domestic stock,LCSC/立创商城; authorized distributor,Same value/spec or better from reputable vendor.,TC4427 local energy + REF/local.,https://www.murata.com/en-global/products/productdetail?partno=GRM21BR71E105KA99L
Passive,Power bulk,22uF/25V X7R,GRM32ER71E226KE15L,Murata,1210,12,2,4,0,0,28,36,LOCK,A,,,0.22,USD,50k+,LCSC/立创商城; authorized distributor,Same value/spec or better from reputable vendor.,Driver groups + buck outputs.,https://www.murata.com/en-global/products/productdetail?partno=GRM32ER71E226KE15L
Passive,Power input,10uF/25V X7R,GRM31CR71E106KA12L,Murata,1206,3,2,5,0,0,11,20,LOCK,A,,C77093,0.3,USD,190k+,LCSC/立创商城; authorized distributor,Same value/spec or better from reputable vendor.,Buck inputs / ADC ref local bulk.,https://www.lcsc.com/product-detail/C77093.html
Passive,LDO stability,2.2uF/25V X7R,GRM21BR71E225KA73L,Murata,0805,2,2,2,0,0,6,12,LOCK,A,,,,USD,,LCSC/立创商城; authorized distributor,Same value/spec or better from reputable vendor.,ADP7118 IN/OUT.,https://www.murata.com/en-global/products/productdetail?partno=GRM21BR71E225KA73L
Passive,Main bulk,470uF/35V low ESR,EEU-FR1V471,Panasonic,Radial,1,2,1,0,0,3,5,LOCK,A,,,0.47,USD,600+,LCSC/立创商城; authorized distributor,Same value/spec or better from reputable vendor.,After eFuse at each board.,https://industrial.panasonic.com/ww/products/pt/aluminum-cap-lead/models/EEUFR1V471
Passive,AFE coupling,10nF/50V C0G,GRM1885C1H103JA01D,Murata,0603,4,2,0,0,0,8,20,LOCK,A,,,,USD,,LCSC/立创商城; authorized distributor,Same value/spec or better from reputable vendor.,RX AC coupling.,https://www.murata.com/en-global/products/productdetail?partno=GRM1885C1H103JA01D
Passive,AFE/ADC filter,1nF/50V C0G,GRM1885C1H102JA01D,Murata,0603,4,2,8,0,0,16,30,LOCK,A,,,,USD,,LCSC/立创商城; authorized distributor,Same value/spec or better from reputable vendor.,RX output + ADC input RF filter.,https://www.murata.com/en-global/products/productdetail?partno=GRM1885C1H102JA01D
Passive,eFuse slew,3.3nF/50V,GRM1885C1H332JA01D,Murata,0603,1,2,1,0,0,3,10,PREFERRED,B,,,,USD,,LCSC/立创商城; authorized distributor,Same value/spec or better from reputable vendor.,TPS259470 dVdt initial value.,https://www.ti.com/product/TPS25947
Passive,eFuse timer,2.2nF/50V,GRM1885C1H222JA01D,Murata,0603,1,2,1,0,0,3,10,PROVISIONAL,B,,,,USD,,LCSC/立创商城; authorized distributor,Same value/spec or better from reputable vendor.,TPS259470 ITIMER; may become DNP.,https://www.ti.com/product/TPS25947
Passive,Resistor,100k 1% general,RC0603FR-07100KL,Yageo,0603,89,2,2,0,0,180,220,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.","Driver pulldowns, RX bias, safe-state pulls, divider bottoms.",https://www.yageo.com/
Passive,Resistor,10k 1% general,RC0603FR-0710KL,Yageo,0603,3,2,0,0,0,6,20,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",OE/CLR/KILL bias.,https://www.yageo.com/
Passive,Resistor,4.7k 1% I2C pull-up,RC0603FR-074K7L,Yageo,0603,2,2,2,2,0,8,20,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",Populate one effective pair per bus segment.,https://www.yageo.com/
Passive,Resistor,1k 1% AFE,RC0603FR-071KL,Yageo,0603,8,2,0,0,0,16,25,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",RX input series/output RC.,https://www.yageo.com/
Passive,Resistor,47R 1% damping,RC0603FR-0747RL,Yageo,0603,4,2,8,0,0,16,30,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",Analog cable and ADC input damping.,https://www.yageo.com/
Passive,Resistor,33R 1% clock source,RC0603FR-0733RL,Yageo,0603,8,2,0,0,0,16,25,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",LVC244 source series.,https://www.yageo.com/
Passive,Resistor,10R 1% INA filter,RC0603FR-0710RL,Yageo,0603,2,2,2,0,0,6,15,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",INA226 filter.,https://www.yageo.com/
Passive,Resistor,0R jumper,RC0603JR-070RL,Yageo,0603,68,2,0,0,0,136,160,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",64 TX series + AFE bypass positions.,https://www.yageo.com/
Passive,Resistor,1.2k 1% TX damping option,RC0603FR-071K2L,Yageo,0603,0,2,0,0,0,0,100,DNP / TUNING,C,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",Footprint across TX; default DNP.,https://www.yageo.com/
Passive,Resistor,1.65k 1% eFuse ILIM,RC0603FR-071K65L,Yageo,0603,1,2,1,0,0,3,10,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",Initial ~2A current limit.,https://www.yageo.com/
Passive,Resistor,1.37M 1% eFuse OVLO top,RC0603FR-071M37L,Yageo,0603,1,2,1,0,0,3,10,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",~17.6V OVLO with 100k bottom.,https://www.yageo.com/
Passive,Resistor,590k 1% AP63200 FB top,RC0603FR-07590KL,Yageo,0603,1,2,1,0,0,3,10,LOCK,A,,,,USD,,LCSC/立创商城,"Same R/tolerance/tempco or better, 0603.",~5.52V with 100k bottom.,https://www.yageo.com/
Passive,AFE precision gain,100k 0.1% 25ppm,RT0603BRD07100KL,Yageo,0603,4,2,0,0,0,8,12,LOCK,A,,,,USD,,LCSC/Mouser China,100k 0.1% <=25ppm/C.,OPA stage1 feedback.,https://www.yageo.com/
Passive,AFE precision gain,10k 0.1% 25ppm,RT0603BRD0710KL,Yageo,0603,12,2,0,0,0,24,30,LOCK,A,,,,USD,,LCSC/Mouser China,10k 0.1% <=25ppm/C.,OPA stage1/stage2 gains.,https://www.yageo.com/
Passive,AFE alternate gain,39k 0.1% 25ppm DNP,RT0603BRD0739KL,Yageo,0603,0,2,0,0,0,0,12,DNP / TUNING,C,,,,USD,,LCSC/Mouser China,39k 0.1% <=25ppm/C.,Reserved gain option.,https://www.yageo.com/
Protection,Input surge,20V standoff TVS,SMBJ20A,Littelfuse/Diodes,SMB,1,2,1,0,0,3,6,PREFERRED,B,,,,USD,,LCSC/Mouser China,SMBJ20A-class; review clamp vs eFuse.,15V rail transient protection.,https://www.littelfuse.com/products/tvs-diodes/smbj.aspx
Protection,Physical fuse,2A time-delay fuse + holder,2A Slow-Blow,Littelfuse/CONQUER,THT/SMD,1,2,1,0,0,3,10,PREFERRED,B,,,,USD,,LCSC/立创商城,2–2.5A time-delay fuse.,Secondary physical fault isolation.,https://www.littelfuse.com/
PCB,Array PCB,4-layer 130×130mm FR-4 1.6mm 1oz,Custom Array PCB,JLCPCB/嘉立创,4-layer PCB,0,2,0,0,2,2,5,LOCK GEOMETRY / NOT GERBER-FROZEN,A,,,,USD,,JLCPCB/嘉立创,Same stack; no 2-layer final build.,TX drill size waits for real TCT40 sample.,https://jlcpcb.com/
PCB,ADC PCB,4-layer ~100×80mm,Custom ADC PCB,JLCPCB/嘉立创,4-layer PCB,0,2,0,0,1,1,3,PREFERRED,A,,,,USD,,JLCPCB/嘉立创,4-layer equivalent.,Central ADC/power/interface.,https://jlcpcb.com/
PCB,Sensor PCB,2-layer ~20×20mm,Custom SHT45 PCB,JLCPCB/嘉立创,2-layer PCB,0,2,0,0,1,1,5,PREFERRED,B,,,,USD,,JLCPCB/嘉立创,Small remote sensor board.,Thermally isolated from drivers.,https://jlcpcb.com/
